,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
B4galt1,-0.185218258,2.781119259,-0.326664013,0.743988386,0.999823494,-4.788491033,-0.32657628
B4galt2,-0.02114172,5.719981023,-0.113512457,0.909625813,0.999823494,-5.154665386,-0.113510532
B4galt3,-0.035831038,5.304169537,-0.106413566,0.915383088,0.999823494,-4.676597415,-0.106251151
B4galt4,0.13441086,5.184405296,0.812915745,0.416320556,0.999823494,-4.768340936,0.81282124
B4galt5,-0.136869869,5.737460966,-1.302023777,0.192915019,0.999823494,-4.69124111,-1.302003997
B4galt6,-0.014371156,5.383268329,-0.044848976,0.964232666,0.999823494,-4.864592588,-0.04484273
B4galt7,0.153337538,4.665522791,1.075398616,0.28220779,0.999823494,-4.799723802,1.075372943
B4gat1,0.117860407,8.438952957,0.331816084,0.740032266,0.999823494,-5.140805577,0.331810618
B9d1,0.125271362,5.326385758,0.93677892,0.348885466,0.999823494,-4.863767955,0.936753313
B9d2,-0.24288363,2.74221299,-1.457571464,0.145038977,0.999823494,-4.431467502,-1.457280464
Baalc,0.043931732,4.78735722,0.100143366,0.920232421,0.999823494,-5.092925203,0.100140955
Baat,0.051578577,0.637336589,0.182571112,0.855200812,0.999823494,-4.75276094,0.182486673
Babam1,-0.119542796,6.100532177,-1.338323374,0.180799544,0.999823494,-4.635991971,-1.338297293
Babam2,-0.164537618,5.381519289,-0.742544527,0.45776241,0.999823494,-5.087257282,-0.742536394
Bace1,0.168526447,6.502187634,0.698817527,0.484826684,0.999823494,-4.714501036,0.698560583
Bace2,0.467055423,3.405720121,1.350244937,0.177038345,0.999823494,-4.500195292,1.349930287
Bach1,0.207524775,4.733962983,0.951117483,0.341708334,0.999823494,-4.65728513,0.950795231
Bach2,0.291394549,3.14637186,1.124785217,0.260719056,0.999823494,-4.658734599,1.124693219
Bad,-0.140604257,6.101370177,-1.060204807,0.289057168,0.999823494,-4.90421432,-1.060192203
Bag1,0.112495356,8.022010097,0.780858201,0.434894123,0.999823494,-4.999392388,0.780844219
Bag2,0.245657343,3.963676597,1.862872452,0.062501363,0.999823494,-4.086403253,1.862722184
Bag3,0.066797436,5.445752552,0.408397461,0.682988872,0.999823494,-5.069067685,0.408387959
Bag4,0.074208849,6.41288164,0.267138842,0.789398514,0.999823494,-4.831039118,0.267091757
Bag5,0.064120643,6.909360419,0.448077293,0.654104251,0.999823494,-5.080075199,0.44806782
Bag6,0.04881128,7.838922582,0.662143482,0.507882148,0.999823494,-5.204043245,0.662138993
Bahcc1,0.024242573,6.189980166,0.221130363,0.824991977,0.999823494,-5.325903419,0.221129017
Bahd1,0.203300277,6.075495624,1.695979993,0.089895689,0.999823494,-4.295619026,1.695948206
Baiap2,0.136808922,6.872767076,0.742487803,0.457796,0.999823494,-5.117852014,0.742480933
Baiap2l1,-0.00766009,5.26161837,-0.021707312,0.982681837,0.999823494,-5.103191191,-0.021706803
Baiap2l2,-0.020078132,2.251742331,-0.050538019,0.959697181,0.999823494,-4.911641029,-0.050533592
Baiap3,0.220720285,9.822498128,0.826794677,0.408448899,0.999823494,-4.723059929,0.826626311
Bak1,0.027453144,2.575543759,0.132784241,0.894371064,0.999823494,-4.942360481,0.132775331
Bambi,-0.695051946,2.838016498,-1.62791094,0.103678477,0.999823494,-4.345337769,-1.627276076
Bank1,0.052802641,0.740651018,0.100789513,0.920146946,0.999823494,-4.631406273,0.100248622
Banp,0.355169436,5.4338215,1.572524178,0.115859161,0.999823494,-4.366368403,1.572394188
Bap1,0.028371039,7.477069925,0.19002289,0.849292652,0.999823494,-5.246813558,0.190021029
Bard1,-0.18230701,1.309281331,-0.617265028,0.537227691,0.999823494,-4.725434704,-0.617010665
Barhl2,-1.189845768,-1.124108318,-2.001681253,0.045784609,0.999823494,-4.26102078,-1.997373645
Barx2,-0.152673625,2.341372235,-0.24964459,0.803591672,0.999823494,-4.640180048,-0.248701521
Basp1,0.118179184,8.588722396,0.45495492,0.649149505,0.999823494,-5.059621856,0.454944031
Batf2,-0.159053133,0.639404841,-0.306942328,0.758996878,0.999823494,-4.748022314,-0.306798332
Batf3,0.036295944,1.734115818,0.095072993,0.924273781,0.999823494,-4.813372361,0.095051677
Bax,0.09285175,5.110129694,1.250523608,0.211117959,0.999823494,-4.692883657,1.25049725
Baz1a,-0.142365764,3.035974926,-0.217798346,0.828482516,0.999823494,-4.629538614,-0.216648204
Baz1b,0.161784734,8.406505866,0.81011061,0.418061115,0.999823494,-4.687459582,0.809789593
Baz2a,0.115152658,7.578826256,0.525301636,0.599376775,0.999823494,-5.202683792,0.525296953
Baz2b,-0.166198534,6.493060295,-0.648579563,0.516639899,0.999823494,-4.868557261,-0.648533579
Bbc3,-0.297637735,3.299735212,-1.441185875,0.14974928,0.999823494,-4.465544203,-1.440417625
Bbip1,0.070345762,5.869970374,0.418138374,0.675890497,0.999823494,-4.835480692,0.418077443
Bbof1,-0.18664917,3.975240939,-1.61658161,0.105993308,0.999823494,-4.314306577,-1.616467344
Bbox1,0.027577953,3.502817144,0.06147805,0.951005158,0.999823494,-4.740085813,0.061444569
Bbs1,0.023669485,5.025580523,0.166147683,0.868050602,0.999823494,-4.932738908,0.166135138
