Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0066.1,PPARG,0.08,0,0,1,0,Down,20306,0.998408052191647,13,0,3123,1,Down,0.999999999992661,-7.889436408003913,6.269097811680889,0.000000000003187
MA0138.2,REST,0.14,1,0.1,34,0,Up,21640,0.680724922185293,13,1,3123,34,Up,0.136003439139646,-4.835174179614829,3.330498356345033,0.866450109420324
MA0041.1,Foxd3,0.11,4,0.3,4567,1.5,Down,28701.5,0.009907481174697,13,4,3123,1904,Down,0.041989678633895,-1.149356871361665,-0.871211258718983,-1.376857449202501
MA1635.1,BHLHE22(var.2),0.01,36,2.8,6002,1.9,Up,25558,0.106499985560465,13,10,3123,1815,Up,0.259846423285348,-0.572683339575007,0.420226520380598,0.585283256744248
MA0690.1,TBX21,0.09,0,0,529,0.2,Down,23523.5,0.322357367155477,13,0,3123,496,Down,0.242670234189749,-3.704092704600304,-2.101589595126329,-0.61498349074646
MA0089.2,NFE2L1,0.15,0,0,246,0.1,Down,21827,0.639159112577337,13,0,3123,235,Down,0.616630120849626,-4.2421260335581,-1.025522937210738,-0.209975264884757
MA0472.2,EGR2,0.04,1,0.1,80,0,Up,21359,0.745014906731167,13,1,3123,77,Up,0.279685290208404,-4.251374205366795,2.162898407848964,0.553330374348218
MA1542.1,OSR1,0.02,1,0.1,176,0.1,Up,20765,0.886378733829294,13,1,3123,168,Up,0.514015481818,-3.691134017412984,1.042418031941342,0.289023800135328
MA0481.3,FOXP1,0.12,10,0.8,4348,1.4,Down,25485,0.111447911903631,13,6,3123,2120,Down,0.133145930134051,-0.806603415495728,-0.495688737053297,-0.875672104083
MA1570.1,TFAP4(var.2),0.07,51,3.9,14761,4.7,Down,22979.5,0.410712026474455,13,8,3123,2815,Down,0.006284621719245,-0.408598519963306,-0.517652281899646,-2.201720858023938
MA0765.2,ETV5,0.05,1,0.1,1014,0.3,Down,23925,0.265765180055182,13,1,3123,784,Down,0.205867972128798,-2.581621589519865,-1.176606823844897,-0.686411213409459
MA0029.1,Mecom,0.13,0,0,393,0.1,Down,22587.5,0.482482971314373,13,0,3123,352,Down,0.384092629285154,-3.951177934721414,-1.607419134884111,-0.415564026840289
MA1625.1,Stat5b,0.15,7,0.5,2987,1,Down,25142.5,0.1371240737073,13,5,3123,1815,Down,0.168356920827246,-1.039126241645739,-0.512659283760865,-0.773769025903137
MA0759.1,ELK3,0.07,0,0,1137,0.4,Down,25662,0.099753482863879,13,0,3123,825,Down,0.026505230930121,-3.337355455907862,-2.835064092511213,-1.576668407576391
MA1620.1,Ptf1a(var.3),0.07,26,2,5320,1.7,Up,22308,0.537551037300509,13,9,3123,2425,Down,0.504091055780912,-0.435920669545289,-0.142078638349187,-0.29749100829376
MA0845.1,FOXB1,0.12,4,0.3,1720,0.6,Down,24800.5,0.167092224239809,13,2,3123,1231,Down,0.09166754010577,-1.887853154671329,-1.090212505209553,-1.03778442276603
MA0258.2,ESR2,0.08,3,0.2,229,0.1,Up,23582,0.31365514062018,13,3,3123,212,Up,0.054485112191966,-2.912580681823157,1.930096203434585,1.263722150496877
MA1615.1,Plagl1,0.14,56,4.3,8998,2.9,Up,27063.5,0.037870990236151,13,13,3123,2559,Up,0.142987694608996,-0.143650761787066,0.287301523574133,0.844701335915085
MA1513.1,KLF15,0.12,29,2.2,6680,2.1,Up,20372,0.982245112819652,13,10,3123,2149,Up,0.765488412475473,-0.45086624948346,0.176592340197504,0.116061379016732
MA1518.1,LHX1,0.01,9,0.7,2138,0.7,Up,21527,0.70633107327287,13,7,3123,1408,Up,0.584133398126785,-0.998500436372766,0.301007059635633,0.233487962040555
MA0764.2,ETV4,0.01,11,0.8,2413,0.8,Up,20567.5,0.934436680783263,13,6,3123,1624,Down,0.783840455428716,-0.998807785129203,-0.111279997786346,-0.10577232555293
MA1656.1,ZNF449,0.14,14,1.1,2028,0.6,Up,26554.5,0.05485690500648,13,10,3123,1438,Up,0.046641104889782,-0.740584194105467,0.756028229441518,1.331231170044674
MA0756.1,ONECUT2,0.14,3,0.2,960,0.3,Down,22027,0.595927542069886,13,2,3123,781,Down,0.537916928982598,-2.215902579420978,-0.434113655710257,-0.269284787660832
MA0653.1,IRF9,0.07,0,0,1,0,Down,20306,0.998408052191647,13,0,3123,1,Down,0.999999999992661,-7.889436408003913,6.269097811680889,0.000000000003187
MA1102.2,CTCFL,0.01,2,0.2,313,0.1,Up,21532,0.705190740029547,13,2,3123,287,Up,0.340047127826804,-2.937244538004941,1.00857026145767,0.468460889026118
MA0787.1,POU3F2,0.03,1,0.1,109,0,Up,21170.5,0.789193217915282,13,1,3123,106,Up,0.363762541560396,-4.022081597890994,1.704313192897362,0.439182024434685
MA0710.1,NOTO,0.03,1,0.1,1556,0.5,Down,24520,0.195145556744156,13,1,3123,855,Down,0.207174020881593,-2.519124385759206,-1.301601231366213,-0.683664704984448
MA1508.1,IKZF1,0.15,45,3.5,10593,3.4,Up,22025,0.596353197837848,13,12,3123,2962,Down,0.498866061786304,-0.093689844140637,-0.034682936496214,-0.302016040418968
